"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix[, ncol(distance.matrix)]","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset Park East","Marble Hill-Inwood","Fort Greene","Washington Heights North","Steinway","Mott Haven-Port Morris","Prospect Heights","Central Harlem North-Polo Grounds","Queensbridge-Ravenswood-Long Island City","Cypress Hills-City Line","New Dorp-Midland Beach","Bay Ridge","Sunset Park West","Baisley Park","SoHo-TriBeCa-Civic Center-Little Italy","Battery Park City-Lower Manhattan","Clinton","West Brighton","South Jamaica","Ozone Park","Georgetown-Marine Park-Bergen Beach-Mill Basin","Brighton Beach","Bensonhurst East","West Farms-Bronx River","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Homecrest","Westchester-Unionport","Oakwood-Oakwood Beach","Grymes Hill-Clifton-Fox Hills","Park Slope-Gowanus","Stapleton-Rosebank","Crown Heights North","Fresh Meadows-Utopia","Bellerose","Stuyvesant Heights","East Williamsburg","Ridgewood","Rego Park","East Harlem South","Bushwick South","East Harlem North","Bushwick North","Glendale","Charleston-Richmond Valley-Tottenville","park-cemetery-etc-Staten Island","New Springville-Bloomfield-Travis","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","South Ozone Park","Lindenwood-Howard Beach"
"1","Midwood",40.6190629,-73.9653715,0,3487,4191,1896,2506,5849,4827,1419,5673,5458,5341,4391,4894,2680,3237,368,1860,4760,1838,1170,2990,3808,5565,4610,4384,6541,4298,3647,3719,1450,4885,5046,5183,4820,2040,4044,1020,4580,1830,3867,4599,5481,4353,3641,1467,3182,5282,5453,4218,4025,3236,3662,2367,1670,4508,2573,3073,2441,5619,6027,4852,5691,3971,3029,2517,4070,4214,6167,5058,3929,4719,4264,4200,4503,5323,2753,4049,4521,2371,4843,2297,3961,4548,4725,1822,2509,3494,3237,4352,2839,2541,4324,2591,2860,3464,4878,3600,3518,1947,1285,1670,5018,994,1303,5077,5569,4104,2450,4112,2504,4423,3923,3452,3736,4395,4896,4115,3485,4115,3568,4722,5309,5672,6423,5536,4103,3917
"2","Bedford",40.709534,-73.964027,0,0,2888,3081,1330,4060,2275,3378,4561,4525,4349,3778,3691,2211,2574,3370,2541,4232,3057,2840,2971,2367,4040,3423,3242,5035,3396,2176,2517,2491,3594,3838,4302,3456,3284,3440,3027,3457,3429,3025,3128,4058,4207,3846,3628,2479,3990,4101,3048,3637,2807,4206,2182,3285,4354,1671,1251,1338,4406,3589,2554,4778,2354,1426,3092,4255,4132,5227,3054,2787,3282,2781,3951,2984,4271,1373,1422,3229,2714,3761,1351,2699,2798,3583,2390,1330,1319,1794,4282,3872,2671,3631,1428,2005,1936,4434,3353,2029,4237,3353,3405,3846,2882,3054,3905,4834,3369,2521,3570,2196,4024,3253,1441,1497,2265,2380,3153,1449,3153,1449,2747,5079,4961,5450,4668,2632,2566
"3","Fordham South",40.8615,-73.89058,0,0,0,4943,2672,4197,5380,5193,1760,4598,967,3946,2335,4026,4241,5412,3637,5824,4234,4025,4544,1032,3506,1520,2753,5700,1419,2160,1218,4520,6428,2807,2723,2478,5459,4169,3493,1520,5012,1621,2017,846,5402,5258,4519,4268,888,1054,1864,4993,3607,5911,4867,5173,4809,3139,2348,2379,2204,480,3141,1864,2068,2742,5628,4959,4836,2300,602,2177,5141,3074,3739,4098,1222,3542,4310,915,4289,1273,3510,1107,2253,2012,3382,2222,2841,5085,5201,3790,4379,4438,2019,2603,2680,5922,5061,4727,5620,5211,5113,1930,3947,4179,1950,5503,4848,4229,4846,4077,4137,5231,3916,3029,3968,3325,1211,3864,1211,4512,5156,6175,5572,5896,6097,4657,5324
"4","Borough Park",40.6323009,-73.9888797,0,0,0,0,2415,5398,4600,2199,5582,5314,5400,4847,4352,3047,3735,1394,2045,4634,2300,1311,3812,3867,5797,4444,4053,6246,4327,3646,3538,1484,4705,4715,5242,4297,1506,3409,1632,4444,2281,3776,5638,5270,5581,3515,2745,3680,5017,5122,4069,3762,3110,3686,3500,1441,5574,2572,3112,2328,5468,5340,4581,5600,3820,3340,1747,4523,3552,6226,4967,3808,4635,4233,4134,4592,5172,2678,3341,4370,1121,4392,2350,3660,4577,4604,2018,2355,3146,3210,3114,1966,1051,4198,2359,2573,3520,4481,3774,3375,3259,2227,1164,4867,1786,1838,4896,4512,3193,1292,3407,2293,4297,3797,2844,3552,4277,4565,4024,3825,4024,3705,4908,4999,5177,6351,5021,3923,3922
"5","Rugby-Remsen Village",40.7127837,-74.0059413,0,0,0,0,0,3109,2838,2410,3606,3295,3244,2354,3047,2421,2910,2652,1917,4504,2514,2122,3173,1711,3971,2633,2679,4602,2231,1520,1682,1700,3626,3311,3056,2828,2942,2467,1923,1584,2744,2155,3152,3174,3984,2992,3180,2801,2795,3463,2506,2571,2878,3283,2454,2570,3920,848,1078,629,2922,3540,2647,3478,1754,1022,2133,3322,3199,3406,2838,2391,2442,2407,3514,2646,3106,1036,1690,2244,1928,3190,1431,1981,2571,2838,1546,0,1383,2059,2929,2229,1958,4351,449,453,1665,3212,4126,2091,3775,2578,2600,2441,2227,2609,3340,3921,2456,1868,2677,1757,3701,3274,2004,1789,2649,3191,2168,2012,2168,2012,2775,3601,4617,4912,3680,2724,2598
"6","East Flushing",40.7525589,-73.8095574,0,0,0,0,0,0,3630,5967,3615,668,3701,1054,2561,3975,4190,5839,5317,3059,5758,5309,5796,3605,2416,4165,2879,2390,4024,3444,3246,4887,4826,4288,4195,2359,5736,6143,4957,5094,5478,3735,3280,3873,2315,2249,6655,4593,4629,5283,4915,6067,2789,3688,4186,5386,7624,3653,4262,4173,3749,4678,2344,5901,2750,3818,6351,6919,6796,3684,4864,3612,1485,1301,1597,1088,5003,3913,3385,4435,5050,5240,3997,3536,3535,4059,5026,3656,2467,4204,5822,5194,5333,3113,3753,4337,3234,7220,3702,3875,6451,5184,5454,3319,5025,5703,3150,6934,6247,4532,5740,4551,1521,2721,4656,4114,3599,2324,4413,4844,3792,5101,4081,7252,6459,6357,7381,3765,3306
"7","Woodhaven",40.6901366,-73.8566087,0,0,0,0,0,0,0,4783,5439,2973,5707,3686,3000,2159,1991,4758,3963,2680,3985,4228,2490,4264,4563,4167,1869,3390,4754,4073,4055,3866,2717,4389,5120,2755,5089,4888,4116,5036,5240,3655,5055,5667,2655,3007,3526,2464,5288,5489,4841,4742,1679,2766,2190,4733,5424,2999,3191,2846,5355,5043,2244,5862,2876,2849,5508,5638,5515,5959,5214,4595,3703,2530,2416,3189,5329,2821,2817,4527,3564,5164,2607,4462,3535,5181,2543,2898,2701,1271,5337,4240,3564,2139,2876,3543,3323,6032,1831,1000,4000,3642,3953,4784,3603,4802,5413,6374,5026,3504,4875,2350,2472,2066,1749,2812,1904,1630,3881,1937,3881,1937,1649,5992,6409,6643,6176,1648,1928
"8","Madison",40.6056249,-73.9492079,0,0,0,0,0,0,0,0,5623,5829,5139,4807,5310,2645,3203,1478,1923,5600,1600,1932,3015,4464,6364,4741,4350,6543,4714,4033,3517,2737,3936,5012,5242,4738,2730,4381,1436,4423,1491,4073,5015,5627,4769,4057,1301,2816,5020,5419,4634,4378,3382,3958,2140,2340,4654,2869,3261,2539,5795,5667,4560,5777,3979,3037,2592,5346,5299,6189,5474,4045,4872,4184,4060,4603,5469,2915,3090,4667,2809,4629,2443,3927,4934,4841,2238,2925,3926,4066,4765,3354,2989,4470,2686,3006,3523,5566,3746,3376,1872,993,2236,5434,1086,1085,5403,5715,4250,2291,4726,3042,5734,4339,3429,4152,4256,4544,4531,3804,4531,3691,4766,5455,6207,6862,5952,4538,4093
"9","Parkchester",40.8382522,-73.8566087,0,0,0,0,0,0,0,0,0,3400,1189,3173,3581,5649,5864,6088,4780,7090,5377,5588,6047,2204,2240,2823,4190,4532,1581,2673,2145,5166,6882,3742,1710,3323,5865,5042,4366,2181,5975,2565,1105,1031,4418,4616,5392,5621,2276,2486,3006,5174,4934,6248,5830,5433,5952,3920,3851,3882,1345,2780,4035,3216,3627,3705,6549,6042,5919,2114,2075,2541,3716,3180,3605,3032,2813,4102,4762,2803,5539,2505,4533,2400,3278,2041,4781,3755,3586,5922,5774,4813,5029,6705,3522,3746,3633,6285,5591,4927,6883,5591,5703,1074,5540,5592,729,6138,4971,4909,5179,4530,3940,4955,5269,4472,4949,4582,2318,4892,2048,5012,5308,6116,6576,6997,6309,5741,5493
"10","Auburndale",40.754115,-73.7860276,0,0,0,0,0,0,0,0,0,0,4367,1067,2934,4438,4270,6212,5534,2649,6131,5622,4958,4407,2138,4538,2574,1996,3864,3817,3619,5260,4687,4790,4035,2732,5408,6066,5330,4921,5457,3692,3120,4246,1694,1992,5775,4539,5002,5473,4130,6130,2319,3504,3762,5343,6775,4312,4857,4546,3764,4302,3667,5366,3121,3221,5742,6561,6438,4290,4970,4399,1079,1614,1350,1401,5550,4226,2705,4688,4422,4033,4366,3493,3060,4419,4244,3270,2900,3419,5779,5009,4182,3041,4369,3877,2999,6539,3277,3894,6194,5141,5096,3050,5454,6136,2881,6891,5761,4489,6223,5854,923,2311,4347,4070,4032,2511,4204,4385,4204,4385,4999,7710,6892,6790,7814,3482,4215
"11","Williamsbridge-Olinville",40.8554311,-73.8553609,0,0,0,0,0,0,0,0,0,0,0,3148,3472,5246,5436,5650,4832,6574,5429,5184,5739,2226,2952,1283,3912,5759,1156,2665,2287,4738,6934,3884,2161,3615,5857,5364,4988,2283,6027,2796,2095,160,5470,5460,5896,5463,1553,1598,2731,5438,4925,6069,5402,5455,6004,3492,3491,3760,1219,1778,4405,2410,3404,3332,5794,6119,5996,1403,1389,2465,4196,2789,3430,2734,2245,3973,4359,1822,4906,1652,4374,1894,3355,2838,4422,3082,3183,5062,5851,4770,5029,5622,3119,3823,3587,6422,5261,5004,5998,5428,5510,1641,5167,5519,1670,6485,5318,4626,5376,4607,4298,5370,4881,4164,5074,4424,2340,4772,2546,4772,5150,6438,6809,6444,6572,5794,5936
"12","Murray Hill",40.7627,-73.81454,0,0,0,0,0,0,0,0,0,0,0,0,2066,4907,4804,5816,4043,3788,4640,5286,5634,3612,1717,3127,1768,3119,3457,2406,2208,3870,5642,3482,3224,1553,4719,5260,3723,3369,4461,2696,2884,3790,2306,2504,5107,4427,3711,4563,3047,4665,3458,4231,2836,4347,6282,3017,3589,4060,3174,4001,1432,4370,1590,2225,4995,5418,5295,2991,3887,2765,628,640,1873,822,4954,3920,2934,4442,3919,3522,3620,2497,3080,3604,3248,2274,2474,2810,4783,4013,3759,3523,3544,2881,2003,5543,1984,3238,5241,4145,4287,3103,4998,4409,2634,5895,4765,3493,4684,3806,1991,3447,3799,3142,3002,2720,3709,5160,3739,4870,3992,5709,6406,6304,7328,4295,2311
"13","East Elmhurst",40.7737505,-73.8713099,0,0,0,0,0,0,0,0,0,0,0,0,0,3265,3480,4933,4435,3485,5032,4403,5222,2770,2702,3650,1325,3716,3368,2568,2909,4041,4799,2201,3614,1249,4860,4817,4421,3290,5708,3011,3989,3891,3112,3023,5779,3883,3632,4387,3263,4981,3657,3636,4165,4548,5869,2844,3179,3472,3969,3202,1720,4554,1919,2872,5806,5915,5792,4550,2722,3371,2324,1792,2770,1942,3824,3149,2339,2962,4166,2602,3019,2805,1292,2955,3645,3039,1488,3358,5396,4977,4741,2996,2683,3538,2320,6111,2868,3455,6033,4608,4630,3158,4077,5111,3547,6330,5303,3626,4796,4027,3284,2803,3836,2784,3479,1829,2348,4269,2348,4419,3009,5883,5515,5413,6197,3409,3285
"14","Brownsville",40.66308,-73.9095279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,3404,2296,4145,2475,3692,1409,3577,6028,4379,3462,4948,4359,3476,3660,2898,3327,5167,5072,3158,3668,3674,1989,4349,3470,3786,5760,5160,3107,2146,1765,1224,4691,5612,4137,3855,2101,2437,1132,2876,4485,2855,2594,2660,5500,6156,3042,5370,4062,2490,3801,4454,4598,6176,4917,4243,4784,3725,2825,4096,4912,2756,2707,4050,2502,4642,2426,3872,4707,3984,1698,2487,2761,1596,5063,3403,2532,3574,2573,2329,3408,4538,2465,1702,2603,2554,3206,4449,3073,3425,4426,5188,3723,2442,4115,1176,3901,2428,1517,2417,2397,2683,4428,1896,4146,1896,2473,5433,5291,6335,5043,2425,2269
"15","East New York (Pennsylvania Ave)",40.6578028,-73.8899582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,2531,3754,2679,3463,814,4068,6257,4870,3896,4786,4558,3877,3889,2980,3556,5396,5614,3647,4919,4347,3383,4840,5118,4279,4981,5593,3942,2635,2554,475,5182,6105,4630,4331,2330,3616,1336,3489,4878,3084,2823,2908,5249,5511,3245,5863,4291,2719,4676,4998,4875,5763,5468,4084,3278,3954,3194,5168,5345,2333,2936,4511,2995,5223,2096,4103,4205,4895,2192,2255,2991,1191,4778,3897,3026,3546,3047,2853,3634,5182,2635,2050,2505,3348,3670,4679,3147,3579,5248,5682,4217,2816,4466,1790,3759,2917,1978,2647,2988,3278,4376,2110,4376,2325,2935,5422,5785,6019,5477,2953,1895
"16","Kensington-Ocean Parkway",40.619358,-73.9698626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,6110,1855,1407,3774,4574,6294,4881,4430,6865,4656,4233,3945,1687,4932,5356,5670,4706,1899,3865,1378,4938,2067,4225,5245,5569,6138,3999,1699,3199,5430,5529,4576,4043,3594,4020,2959,1894,5239,2979,3014,2806,5815,6523,4760,6049,4329,3067,2222,4088,4232,6119,5416,4125,5162,4490,5194,4969,5519,2572,3538,4687,2202,5201,2655,4067,4906,4921,2180,2584,3346,3575,4370,2857,2559,6355,2706,2980,3633,4896,3958,3277,2179,1643,1954,5184,1352,1540,5345,5983,3865,2276,4156,2344,5964,6762,3179,3512,4504,5242,4473,3957,4473,3987,4498,5635,5927,6582,6358,4086,3960
"17","Erasmus",40.6496327,-73.952894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358,1054,1548,2556,3398,5868,4415,4034,5881,3918,3237,2949,1719,3835,4561,4713,4470,3009,3686,1075,4295,2594,3307,4809,4801,4020,3059,2022,2168,4452,4953,3658,3479,2684,3230,2274,2637,4246,2660,2773,2412,4579,4081,3637,5131,3666,2664,3390,4266,4143,5003,3511,3594,4427,3676,3680,4245,4675,1994,2787,3813,2356,4343,2127,3446,4303,3775,1339,2128,2423,2537,4118,3044,2023,3338,2205,2120,3219,4329,3348,2360,2536,1670,2556,4444,1349,1761,4067,4829,3364,1843,3880,924,3841,3341,2585,3416,3652,4456,3422,2563,3422,2623,3772,5074,4932,6237,4684,3173,2897
