"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix...ncol.distance.matrix..","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset.Park.East","Marble.Hill.Inwood","Fort.Greene","Washington.Heights.North","Steinway","Mott.Haven.Port.Morris","Prospect.Heights","Central.Harlem.North.Polo.Grounds","Queensbridge.Ravenswood.Long.Island.City","Cypress.Hills.City.Line","New.Dorp.Midland.Beach","Bay.Ridge","Sunset.Park.West","Baisley.Park","SoHo.TriBeCa.Civic.Center.Little.Italy","Battery.Park.City.Lower.Manhattan","Clinton","West.Brighton","South.Jamaica","Ozone.Park","Georgetown.Marine.Park.Bergen.Beach.Mill.Basin","Brighton.Beach","Bensonhurst.East","West.Farms.Bronx.River","Sheepshead.Bay.Gerritsen.Beach.Manhattan.Beach","Homecrest","Westchester.Unionport","Oakwood.Oakwood.Beach","Grymes.Hill.Clifton.Fox.Hills","Park.Slope.Gowanus","Stapleton.Rosebank","Crown.Heights.North","Fresh.Meadows.Utopia","Bellerose","Stuyvesant.Heights","East.Williamsburg","Ridgewood","Rego.Park","East.Harlem.South","Bushwick.South","East.Harlem.North","Bushwick.North","Glendale","Charleston.Richmond.Valley.Tottenville","park.cemetery.etc.Staten.Island","New.Springville.Bloomfield.Travis","Todt.Hill.Emerson.Hill.Heartland.Village.Lighthouse.Hill","South.Ozone.Park","Lindenwood.Howard.Beach","Midtown.Midtown.South","Murray.Hill.Kips.Bay","Mariner.s.Harbor.Arlington.Port.Ivory.Graniteville","Prospect.Lefferts.Gardens.Wingate","Crown.Heights.South","Port.Richmond","Hunters.Point.Sunnyside.West.Maspeth","Claremont.Bathgate","Van.Nest.Morris.Park.Westchester.Square","Pelham.Parkway","Mount.Hope","Ft..Totten.Bay.Terrace.Clearview","Whitestone","Turtle.Bay.East.Midtown","Lenox.Hill.Roosevelt.Island","Elmhurst.Maspeth","Woodside","St..Albans","Laurelton","Brooklyn.Heights.Cobble.Hill","Jamaica","Richmond.Hill","Briarwood.Jamaica.Hills","Kew.Gardens","Middle.Village","Maspeth","Upper.West.Side","Lincoln.Square","Bronxdale","Oakland.Gardens","Douglas.Manor.Douglaston.Little.Neck","Annadale.Huguenot.Prince.s.Bay.Eltingville","Great.Kills","Seagate.Coney.Island","Corona","Schuylerville.Throgs.Neck.Edgewater.Park","Gravesend","East.Tremont","North.Riverdale.Fieldston.Riverdale","Bedford.Park.Fordham.North","Belmont","Eastchester.Edenwald.Baychester","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Crotona Park East","Soundview-Castle Hill-Clason Point-Harding Park","Rossville-Woodrow","Arden Heights","Far Rockaway-Bayswater","park-cemetery-etc-Bronx","Carroll Gardens-Columbia Street-Red Hook","park-cemetery-etc-Manhattan","Rosedale","Flushing","Queensboro Hill","Hudson Yards-Chelsea-Flatiron-Union Square","Gramercy","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Clinton Hill","Williamsburg","park-cemetery-etc-Brooklyn","Hamilton Heights","Washington Heights South","Highbridge","West Concourse","Forest Hills","park-cemetery-etc-Queens","Springfield Gardens South-Brookville","Airport"
"1","Midwood",40.6190629,-73.9653715,0,3487,4191,1896,2506,5849,4827,1419,5673,5458,5341,4391,4894,2680,3237,368,1860,4760,1838,1170,2990,3808,5565,4610,4384,6541,4298,3647,3719,1450,4885,5046,5183,4820,2040,4044,1020,4580,1830,3867,4599,5481,4353,3641,1467,3182,5282,5453,4218,4025,3236,3662,2367,1670,4508,2573,3073,2441,5619,6027,4852,5691,3971,3029,2517,4070,4214,6167,5058,3929,4719,4264,4200,4503,5323,2753,4049,4521,2371,4843,2297,3961,4548,4725,1822,2509,3494,3237,4352,2839,2541,4324,2591,2860,3464,4878,3600,3518,1947,1285,1670,5018,994,1303,5077,5569,4104,2450,4112,2504,4423,3923,3452,3736,4395,4896,4115,3485,4115,3568,4722,5309,5672,6423,5536,4103,3917,3303,3116,6054,2506,2889,4820,3628,5495,5194,5093,4663,6826,6123,3655,4039,5063,4283,4098,4035,3012,3690,5383,4541,3474,4484,4901,3570,3216,5267,6107,5051,5577,5849,1319,4693,6281,1518,4566,5864,4714,5729,5778,4395,5126,5948,5620,5782,5976,5477,2952,3082,4370,5759,3334,2464,3075,2721,2302,3220,2755,4159,3991,4497,4469,3198,4199,3822,4895
"2","Bedford",40.709534,-73.964027,0,0,2888,3081,1330,4060,2275,3378,4561,4525,4349,3778,3691,2211,2574,3370,2541,4232,3057,2840,2971,2367,4040,3423,3242,5035,3396,2176,2517,2491,3594,3838,4302,3456,3284,3440,3027,3457,3429,3025,3128,4058,4207,3846,3628,2479,3990,4101,3048,3637,2807,4206,2182,3285,4354,1671,1251,1338,4406,3589,2554,4778,2354,1426,3092,4255,4132,5227,3054,2787,3282,2781,3951,2984,4271,1373,1422,3229,2714,3761,1351,2699,2798,3583,2390,1330,1319,1794,4282,3872,2671,3631,1428,2005,1936,4434,3353,2029,4237,3353,3405,3846,2882,3054,3905,4834,3369,2521,3570,2196,4024,3253,1441,1497,2265,2380,3153,1449,3153,1449,2747,5079,4961,5450,4668,2632,2566,2094,2141,5298,1330,2196,3907,1992,4143,3771,4060,3311,5223,4944,2633,2370,2148,2984,3904,4167,1754,3010,2591,2453,2848,1945,1841,2500,2236,4338,4546,4126,4876,4728,3687,3300,4543,3449,3214,4992,3512,4407,4456,3541,3355,4746,4864,4845,4925,4515,2804,2060,4565,4120,1948,1644,1881,1843,1463,494,1788,3113,2988,3595,3191,3077,3920,3359,3422
"3","Fordham South",40.8615,-73.89058,0,0,0,4943,2672,4197,5380,5193,1760,4598,967,3946,2335,4026,4241,5412,3637,5824,4234,4025,4544,1032,3506,1520,2753,5700,1419,2160,1218,4520,6428,2807,2723,2478,5459,4169,3493,1520,5012,1621,2017,846,5402,5258,4519,4268,888,1054,1864,4993,3607,5911,4867,5173,4809,3139,2348,2379,2204,480,3141,1864,2068,2742,5628,4959,4836,2300,602,2177,5141,3074,3739,4098,1222,3542,4310,915,4289,1273,3510,1107,2253,2012,3382,2222,2841,5085,5201,3790,4379,4438,2019,2603,2680,5922,5061,4727,5620,5211,5113,1930,3947,4179,1950,5503,4848,4229,4846,4077,4137,5231,3916,3029,3968,3325,1211,3864,1211,4512,5156,6175,5572,5896,6097,4657,5324,2408,1601,7334,2042,3447,4616,2288,635,1303,1010,915,4459,3867,1776,2061,2969,2883,3734,6057,3656,4863,3730,3081,3983,4137,3710,2158,2224,1590,4898,4594,6798,6766,4575,4199,2954,4840,412,2566,380,1143,2258,5644,1998,2866,7135,6368,7133,1881,3974,1898,5759,3580,2530,2450,1986,3550,3335,3559,4318,1411,1167,1390,1152,3722,4607,4707,2246
"4","Borough Park",40.6323009,-73.9888797,0,0,0,0,2415,5398,4600,2199,5582,5314,5400,4847,4352,3047,3735,1394,2045,4634,2300,1311,3812,3867,5797,4444,4053,6246,4327,3646,3538,1484,4705,4715,5242,4297,1506,3409,1632,4444,2281,3776,5638,5270,5581,3515,2745,3680,5017,5122,4069,3762,3110,3686,3500,1441,5574,2572,3112,2328,5468,5340,4581,5600,3820,3340,1747,4523,3552,6226,4967,3808,4635,4233,4134,4592,5172,2678,3341,4370,1121,4392,2350,3660,4577,4604,2018,2355,3146,3210,3114,1966,1051,4198,2359,2573,3520,4481,3774,3375,3259,2227,1164,4867,1786,1838,4896,4512,3193,1292,3407,2293,4297,3797,2844,3552,4277,4565,4024,3825,4024,3705,4908,4999,5177,6351,5021,3923,3922,3055,3132,5823,2448,2263,4131,3139,5164,4923,5182,4332,6361,6052,3654,3271,4622,4222,3972,3939,2817,3594,4734,4420,3408,4855,4630,3509,3257,5356,5842,4997,5006,5199,1866,4632,6100,1535,4235,5773,4413,5458,5477,4215,4855,5767,5338,5087,6091,5596,2445,3081,4244,5639,3333,2373,2902,2548,2286,2752,2170,3864,3750,4686,4272,3042,4043,3486,4233
"5","Rugby-Remsen Village",40.7127837,-74.0059413,0,0,0,0,0,3109,2838,2410,3606,3295,3244,2354,3047,2421,2910,2652,1917,4504,2514,2122,3173,1711,3971,2633,2679,4602,2231,1520,1682,1700,3626,3311,3056,2828,2942,2467,1923,1584,2744,2155,3152,3174,3984,2992,3180,2801,2795,3463,2506,2571,2878,3283,2454,2570,3920,848,1078,629,2922,3540,2647,3478,1754,1022,2133,3322,3199,3406,2838,2391,2442,2407,3514,2646,3106,1036,1690,2244,1928,3190,1431,1981,2571,2838,1546,0,1383,2059,2929,2229,1958,4351,449,453,1665,3212,4126,2091,3775,2578,2600,2441,2227,2609,3340,3921,2456,1868,2677,1757,3701,3274,2004,1789,2649,3191,2168,2012,2168,2012,2775,3601,4617,4912,3680,2724,2598,972,869,4250,0,1697,2979,1765,3407,2797,3026,2870,3543,3429,1760,1565,2747,2306,4467,3333,643,3918,3484,2504,3471,2757,2259,1507,1563,3354,3764,3074,3783,3976,2882,2806,4153,2757,2526,3644,2717,3452,3291,3136,2789,3730,4343,3932,5017,3258,1898,1522,5128,3782,1237,669,1046,795,1527,1034,1583,1886,2101,2400,2192,3034,3567,3922,2868
"6","East Flushing",40.7525589,-73.8095574,0,0,0,0,0,0,3630,5967,3615,668,3701,1054,2561,3975,4190,5839,5317,3059,5758,5309,5796,3605,2416,4165,2879,2390,4024,3444,3246,4887,4826,4288,4195,2359,5736,6143,4957,5094,5478,3735,3280,3873,2315,2249,6655,4593,4629,5283,4915,6067,2789,3688,4186,5386,7624,3653,4262,4173,3749,4678,2344,5901,2750,3818,6351,6919,6796,3684,4864,3612,1485,1301,1597,1088,5003,3913,3385,4435,5050,5240,3997,3536,3535,4059,5026,3656,2467,4204,5822,5194,5333,3113,3753,4337,3234,7220,3702,3875,6451,5184,5454,3319,5025,5703,3150,6934,6247,4532,5740,4551,1521,2721,4656,4114,3599,2324,4413,4844,3792,5101,4081,7252,6459,6357,7381,3765,3306,2574,3005,7284,3510,5421,6624,2615,4456,3869,4098,4865,2394,2086,3864,2649,3854,2340,3481,4004,4045,2416,3144,1462,2732,2595,2826,3853,3613,3584,1573,2627,6924,7023,5976,1790,3068,6065,4273,6117,4721,4606,4277,4291,3951,4052,7959,7098,5855,3858,4659,3119,3863,1643,2321,3281,3840,4271,3508,4260,3710,4916,3806,4954,4392,2683,1232,2363,3039
"7","Woodhaven",40.6901366,-73.8566087,0,0,0,0,0,0,0,4783,5439,2973,5707,3686,3000,2159,1991,4758,3963,2680,3985,4228,2490,4264,4563,4167,1869,3390,4754,4073,4055,3866,2717,4389,5120,2755,5089,4888,4116,5036,5240,3655,5055,5667,2655,3007,3526,2464,5288,5489,4841,4742,1679,2766,2190,4733,5424,2999,3191,2846,5355,5043,2244,5862,2876,2849,5508,5638,5515,5959,5214,4595,3703,2530,2416,3189,5329,2821,2817,4527,3564,5164,2607,4462,3535,5181,2543,2898,2701,1271,5337,4240,3564,2139,2876,3543,3323,6032,1831,1000,4000,3642,3953,4784,3603,4802,5413,6374,5026,3504,4875,2350,2472,2066,1749,2812,1904,1630,3881,1937,3881,1937,1649,5992,6409,6643,6176,1648,1928,3318,2956,6686,2718,2733,5295,2396,5321,5320,5609,4953,4641,5058,4403,2993,2549,2152,1746,2283,3202,2163,1251,3077,1356,1735,2831,4056,4029,5872,3252,3119,6640,6176,5075,2224,4828,4402,4452,6125,5020,6215,5844,1896,5252,5654,6252,6233,4108,5901,3572,4228,3013,3861,2550,3040,3419,2676,2523,1859,2039,4606,4387,5223,4625,1872,2548,1807,2671
"8","Madison",40.6056249,-73.9492079,0,0,0,0,0,0,0,0,5623,5829,5139,4807,5310,2645,3203,1478,1923,5600,1600,1932,3015,4464,6364,4741,4350,6543,4714,4033,3517,2737,3936,5012,5242,4738,2730,4381,1436,4423,1491,4073,5015,5627,4769,4057,1301,2816,5020,5419,4634,4378,3382,3958,2140,2340,4654,2869,3261,2539,5795,5667,4560,5777,3979,3037,2592,5346,5299,6189,5474,4045,4872,4184,4060,4603,5469,2915,3090,4667,2809,4629,2443,3927,4934,4841,2238,2925,3926,4066,4765,3354,2989,4470,2686,3006,3523,5566,3746,3376,1872,993,2236,5434,1086,1085,5403,5715,4250,2291,4726,3042,5734,4339,3429,4152,4256,4544,4531,3804,4531,3691,4766,5455,6207,6862,5952,4538,4093,3412,3975,6031,3081,3042,5553,3148,5143,5280,5539,4629,6342,6359,3951,3250,4786,4519,4514,4181,3248,3836,4357,4657,4885,4343,4412,3758,3494,5653,5745,5234,6126,6319,1179,5109,6397,1918,4214,5752,5190,6397,5864,3769,5212,5746,6167,5756,5804,5635,3270,3060,4786,5995,3750,2880,2881,2908,2448,3439,3506,4401,4407,5093,4869,3374,4375,3818,4500
"9","Parkchester",40.8382522,-73.8566087,0,0,0,0,0,0,0,0,0,3400,1189,3173,3581,5649,5864,6088,4780,7090,5377,5588,6047,2204,2240,2823,4190,4532,1581,2673,2145,5166,6882,3742,1710,3323,5865,5042,4366,2181,5975,2565,1105,1031,4418,4616,5392,5621,2276,2486,3006,5174,4934,6248,5830,5433,5952,3920,3851,3882,1345,2780,4035,3216,3627,3705,6549,6042,5919,2114,2075,2541,3716,3180,3605,3032,2813,4102,4762,2803,5539,2505,4533,2400,3278,2041,4781,3755,3586,5922,5774,4813,5029,6705,3522,3746,3633,6285,5591,4927,6883,5591,5703,1074,5540,5592,729,6138,4971,4909,5179,4530,3940,4955,5269,4472,4949,4582,2318,4892,2048,5012,5308,6116,6576,6997,6309,5741,5493,3327,2711,7089,3574,4349,5518,3035,2074,1357,1236,2445,3178,2879,2446,3258,4476,3999,5642,5487,4077,5622,4716,3216,4182,4739,4836,2191,3184,858,3375,4258,6392,6491,5774,3668,1619,5829,2614,4011,2091,2069,1976,6289,1470,1461,7243,6476,7552,461,4629,2873,6178,2636,2869,3056,3248,3450,4386,3908,4088,3025,2431,2964,2294,4071,4962,5905,3091
"10","Auburndale",40.754115,-73.7860276,0,0,0,0,0,0,0,0,0,0,4367,1067,2934,4438,4270,6212,5534,2649,6131,5622,4958,4407,2138,4538,2574,1996,3864,3817,3619,5260,4687,4790,4035,2732,5408,6066,5330,4921,5457,3692,3120,4246,1694,1992,5775,4539,5002,5473,4130,6130,2319,3504,3762,5343,6775,4312,4857,4546,3764,4302,3667,5366,3121,3221,5742,6561,6438,4290,4970,4399,1079,1614,1350,1401,5550,4226,2705,4688,4422,4033,4366,3493,3060,4419,4244,3270,2900,3419,5779,5009,4182,3041,4369,3877,2999,6539,3277,3894,6194,5141,5096,3050,5454,6136,2881,6891,5761,4489,6223,5854,923,2311,4347,4070,4032,2511,4204,4385,4204,4385,4999,7710,6892,6790,7814,3482,4215,2531,3438,7241,4449,4876,6273,3048,4738,4151,4380,4769,1734,1954,3697,3082,4287,2773,2886,3883,4652,2180,3005,1328,2600,2634,2783,4280,2891,3422,1702,1724,6608,6707,5618,2522,3501,5733,4706,5622,4276,4397,4352,4257,4233,4334,7942,6962,5903,3774,4763,3154,4085,2185,2754,3040,4393,4923,4391,4307,3406,4335,3763,5025,4879,2465,1056,2318,2636
