,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES
1,3,1,South Ferry,1,3,1
2,2,2,Rector St,2,2,1
3,344,4,Chambers St,3,3441,1
4,351,5,Franklin St,4,351,1
5,340,6,Canal St,5,340,1
6,359,7,Houston St,6,359,1
7,345,8,Christopher St,7,345,1
8,265,9,14th St,8,2651,1
9,275,10,18th St,9,275,1
10,287,11,23rd St,10,287,1
11,290,12,28th St,11,290,1
12,295,13,34th St,12,2951,1
37,481,99,Times Sq,37,4811,1
13,302,15,50th St,13,302,1
14,308,16,59th St,14,308,1
15,312,17,66th St,15,312,1
16,315,18,72nd St,16,3151,1
17,317,19,79th St,17,317,1
18,322,20,86th St,18,322,1
19,327,21,96th St,19,3271,1
20,244,22,103rd St,20,244,1
21,341,23,Cathedral Pky,21,341,1
22,251,24,116th St,22,251,1
23,255,25,125th St,23,255,1
24,258,26,137th St,24,258,1
25,261,27,145th St,25,261,1
26,268,28,157th St,26,268,1
27,271,29,168th St,27,271,1
28,274,30,181st St,28,274,1
29,277,31,191st St,29,277,1
30,349,32,Dyckman St,30,349,1
31,280,33,207th St,31,280,1
32,281,34,215th St,32,281,1
33,282,35,225th St,33,282,1
34,20,36,231st St,34,20,1
35,22,37,238th St,35,22,1
36,24,38,242nd St,36,24,1
