"","BoroName","NTAName","lng","lat"
"1","Brooklyn","Midwood",-73.9653715,40.6190629
"2","Brooklyn","Bedford",-73.964027,40.709534
"3","Bronx","Fordham South",-73.89058,40.8615
"4","Brooklyn","Borough Park",-73.9888797,40.6323009
"5","Brooklyn","Rugby-Remsen Village",-74.0059413,40.7127837
"6","Queens","East Flushing",-73.8095574,40.7525589
"7","Queens","Woodhaven",-73.8566087,40.6901366
"8","Brooklyn","Madison",-73.9492079,40.6056249
"9","Bronx","Parkchester",-73.8566087,40.8382522
"10","Queens","Auburndale",-73.7860276,40.754115
"11","Bronx","Williamsbridge-Olinville",-73.8553609,40.8554311
"12","Queens","Murray Hill",-73.81454,40.7627
"13","Queens","East Elmhurst",-73.8713099,40.7737505
"14","Brooklyn","Brownsville",-73.9095279,40.66308
"15","Brooklyn","East New York (Pennsylvania Ave)",-73.8899582,40.6578028
"16","Brooklyn","Kensington-Ocean Parkway",-73.9698626,40.619358
"17","Brooklyn","Erasmus",-73.952894,40.6496327
"18","Queens","Cambria Heights",-73.7330753,40.692158
"19","Brooklyn","East Flatbush-Farragut",-73.9470018,40.6374152
"20","Brooklyn","Ocean Parkway South",-73.9736869,40.639679
"21","Brooklyn","Starrett City",-73.8802271,40.6490524
"22","Manhattan","Central Harlem South",-73.9210386,40.7941784
"23","Queens","College Point",-73.8389657,40.786395
"24","Bronx","Morrisania-Melrose",-73.915231,40.825761
"25","Queens","Elmhurst",-73.8801301,40.737975
"26","Queens","Glen Oaks-Floral Park-New Hyde Park",-73.7118223,40.7471504
"27","Bronx","Longwood",-73.8915875,40.8248438
"28","Manhattan","Yorkville",-73.9492079,40.7762231
"29","Manhattan","Upper East Side-Carnegie Hill",-73.9492428,40.784774
"30","Brooklyn","Windsor Terrace",-73.9756567,40.6539346
"31","Queens","Hammels-Arverne-Edgemere",-73.7783688,40.5925731
"32","Bronx","Rikers Island",-73.88601,40.7931277
"33","Bronx","Hunts Point",-73.8801301,40.8120246
"34","Queens","Jackson Heights",-73.8830701,40.7556818
"35","Brooklyn","Bath Beach",-74.0035709,40.602196
"36","Staten Island","Old Town-Dongan Hills-South Beach",-74.09609,40.588849
"37","Brooklyn","Flatbush",-73.9624327,40.6409217
"38","Bronx","Melrose South-Mott Haven North",-73.915231,40.825761
"39","Brooklyn","Ocean Hill",-73.967075,40.5839897
"40","Manhattan","Morningside Heights",-73.9624327,40.8089564
"41","Bronx","Soundview-Bruckner",-73.8668046,40.8251988
"42","Bronx","Allerton-Pelham Gardens",-73.8564634,40.8569374
"43","Queens","Jamaica Estates-Holliswood",-73.7704497,40.7187082
"44","Queens","Hollis",-73.762495,40.7112203
"45","Brooklyn","Flatlands",-73.9330429,40.6268432
"46","Brooklyn","East New York",-73.8830701,40.6568312
"47","Bronx","Kingsbridge Heights",-73.8982492,40.869861
"48","Bronx","Norwood",-73.8786601,40.8771463
"49","Manhattan","Manhattanville",-73.9558333,40.8169443
"50","Staten Island","Grasmere-Arrochar-Ft. Wadsworth",-74.084087,40.603117
"51","Queens","Queens Village",-73.73646,40.71745
"52","Queens","Springfield Gardens North",-73.7683784,40.6626441
"53","Brooklyn","Canarsie",-73.9060579,40.6402325
"54","Brooklyn","Bensonhurst West",-73.9976946,40.6112691
"55","Staten Island","West New Brighton-New Brighton-St. George",-74.0929194,40.6423258
"56","Manhattan","West Village",-74.0035709,40.735781
"57","Manhattan","East Village",-73.9815337,40.7264773
"58","Manhattan","Chinatown",-73.9970307,40.7157509
"59","Bronx","Pelham Bay-Country Club-City Island",-73.8333333,40.8505556
"60","Bronx","Woodlawn-Wakefield",-73.862916,40.895361
"61","Queens","Old Astoria",-73.8927255,40.7331241
"62","Bronx","Van Cortlandt Village",-73.8948475,40.8910788
"63","Queens","Astoria",-73.9234619,40.7643574
"64","Manhattan","Stuyvesant Town-Cooper Village",-73.9778512,40.7317047
"65","Brooklyn","Dyker Heights",-74.0153231,40.6187181
"66","Staten Island","New Brighton-Silver Lake",-74.0953653,40.6269237
"67","Staten Island","Westerleigh",-74.1386767,40.616296
"68","Bronx","Co-op City",-73.8281865,40.8749698
"69","Bronx","University Heights-Morris Heights",-73.91312,40.862248
"70","Bronx","East Concourse-Concourse Village",-73.9547233,40.7944562
"71","Queens","Bayside-Bayside Hills",-73.77125,40.76314
"72","Queens","North Corona",-73.8624893,40.7502698
"73","Queens","Kew Gardens Hills",-73.8106854,40.7384986
