BoroName,BoroCode,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
Brooklyn,3,047,BK43,Midwood,27996.591273599999113,35799637.810300000011921
Brooklyn,3,047,BK75,Bedford,29992.919174400001793,32629833.114900000393391
Bronx,2,005,BX40,Fordham South,15878.272921199999473,6307283.622019999660552
Brooklyn,3,047,BK88,Borough Park,39247.227722000003268,54005019.22860000282526
Brooklyn,3,047,BK96,Rugby-Remsen Village,30957.853394900001149,32706946.403499998152256
Queens,4,081,QN52,East Flushing,25843.364955699998973,29454379.966299999505281
Queens,4,081,QN53,Woodhaven,28070.585548399998515,37001316.627599999308586
Brooklyn,3,047,BK44,Madison,26237.257341000000451,27379161.997800000011921
Bronx,2,005,BX46,Parkchester,12373.255537999999433,9180655.231780000030994
Queens,4,081,QN48,Auburndale,32446.878672999999253,34164217.574699997901917
Bronx,2,005,BX44,Williamsbridge-Olinville,27350.973944800000027,36273563.808100000023842
Queens,4,081,QN51,Murray Hill,33266.904811200001859,52488277.073700003325939
Queens,4,081,QN27,East Elmhurst,19816.712109500000224,19726846.100000001490116
Brooklyn,3,047,BK81,Brownsville,27300.781233000001521,32730861.109099999070168
Brooklyn,3,047,BK85,East New York (Pennsylvania Ave),24226.850777100000414,19397527.299300000071526
Brooklyn,3,047,BK41,Kensington-Ocean Parkway,20800.556075399999827,15893349.43859999999404
Brooklyn,3,047,BK95,Erasmus,18756.702307100000326,14522599.5
Queens,4,081,QN33,Cambria Heights,26168.269539500000974,33076798.043999999761581
Brooklyn,3,047,BK91,East Flatbush-Farragut,39211.411680099998193,34362243.156400002539158
Brooklyn,3,047,BK46,Ocean Parkway South,21975.997984199999337,17782031.868099998682737
Brooklyn,3,047,BK93,Starrett City,17414.781632900001568,11598945.823599999770522
Manhattan,1,061,MN11,Central Harlem South,16619.295908000000054,14436192.182199999690056
Queens,4,081,QN23,College Point,59485.125419700001657,50626759.412900000810623
Bronx,2,005,BX35,Morrisania-Melrose,27740.845741299999645,16891753.51630000025034
Queens,4,081,QN29,Elmhurst,36705.016439599996374,32671507.706599999219179
Queens,4,081,QN44,Glen Oaks-Floral Park-New Hyde Park,33596.526631100001396,45665592.129299998283386
Bronx,2,005,BX33,Longwood,18982.129300600001443,10732451.844200000166893
Manhattan,1,061,MN32,Yorkville,17409.210114699999394,13594779.769799999892712
Manhattan,1,061,MN40,Upper East Side-Carnegie Hill,23778.406402000000526,20065329.487700000405312
Brooklyn,3,047,BK40,Windsor Terrace,19033.540162500001315,14041611.820499999448657
Queens,4,081,QN12,Hammels-Arverne-Edgemere,83820.120650099997874,61904116.801299996674061
Bronx,2,005,BX98,Rikers Island,18903.346270999998524,18154595.79619999974966
Bronx,2,005,BX27,Hunts Point,44778.618995299999369,49734670.557300001382828
Queens,4,081,QN28,Jackson Heights,29422.792302900001232,47854896.069099999964237
Brooklyn,3,047,BK27,Bath Beach,22383.267147999998997,20538896.971099998801947
Staten Island,5,085,SI36,Old Town-Dongan Hills-South Beach,41963.900236499997845,67010738.067900002002716
Brooklyn,3,047,BK42,Flatbush,38737.852762800001074,45254811.474500000476837
Bronx,2,005,BX34,Melrose South-Mott Haven North,19596.17495179999969,17269793.866999998688698
Brooklyn,3,047,BK79,Ocean Hill,22496.514210299999831,20078419.057199999690056
Manhattan,1,061,MN09,Morningside Heights,20744.313554899999872,20158317.285000000149012
Bronx,2,005,BX55,Soundview-Bruckner,19755.305500999998912,16260511.421399999409914
Bronx,2,005,BX31,Allerton-Pelham Gardens,25462.684886999999435,31684499.290600001811981
Queens,4,081,QN06,Jamaica Estates-Holliswood,35446.883206600003177,42789517.36259999871254
Queens,4,081,QN07,Hollis,20976.335524800000712,22887772.917599998414516
Brooklyn,3,047,BK58,Flatlands,40635.275370600000315,54341763.55460000038147
Brooklyn,3,047,BK82,East New York,88815.348861799997394,117170154.658000007271767
Bronx,2,005,BX30,Kingsbridge Heights,21306.519854900001519,13167198.169199999421835
Bronx,2,005,BX43,Norwood,22148.645112599999266,15708884.413799999281764
Manhattan,1,061,MN06,Manhattanville,17040.685730699999112,10647077.694099999964237
