"","OBJECTID","ID","NAME","ALT_NAME","CROSS_ST","LONG_NAME","LABEL","BOROUGH","NGHBHD","ROUTES","TRANSFERS","COLOR","EXPRESS","CLOSED","lng","lat","UNIQUEID"
"2",2,2,"Rector St",NA,NA,"Rector St (1) Manhattan","Rector St (1)","Manhattan",NA,"1","1","RED",NA,NA,-74.0135879178449,40.707949836686,"2"
"3",3,1,"South Ferry",NA,NA,"South Ferry (1) Manhattan","South Ferry (1)","Manhattan",NA,"1","1","RED",NA,NA,-74.0139260004303,40.7013249998299,"3"
"5",5,126,"149th St","Grand Concourse","Grand Concourse","149th St / Grand Concourse (4) Bronx","149th St / Grand Concourse (4)","Bronx",NA,"4","2,4,5","GREEN","express",NA,-73.9274064982365,40.8183476673731,"5"
"9",9,128,"167th St",NA,"River Ave","167th St (4) Bronx","167th St (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.9212956017937,40.8356910682969,"9"
"11",11,129,"170th St",NA,"Jerome Ave","170th St (4) Bronx","170th St (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.9177051393428,40.8402027060274,"11"
"14",14,131,"176th St",NA,"Jerome Ave","176th St (4) Bronx","176th St (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.9116942698032,40.8486459521749,"14"
"16",16,133,"183rd St",NA,"Jerome Ave","183rd St (4) Bronx","183rd St (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.9039619975774,40.8583670003775,"16"
"17",17,216,"205th St","Norwood","Bainbridge Ave","205th St / Norwood (D) Bronx","205th St / Norwood (D)","Bronx",NA,"D","D","ORANGE",NA,NA,-73.8794270002712,40.8749790008816,"17"
"20",20,36,"231st St",NA,"Broadway","231st St (1) Bronx","231st St (1)","Bronx",NA,"1","1","RED",NA,NA,-73.9047844828945,40.8789101212723,"20"
"22",22,37,"238th St",NA,"Broadway","238th St (1) Bronx","238th St (1)","Bronx",NA,"1","1","RED",NA,NA,-73.900640997567,40.8850770004547,"22"
"23",23,64,"241st St","Wakefield","White Plains Rd","241st St / Wakefield (2) Bronx","241st St / Wakefield (2)","Bronx",NA,"2","2","RED",NA,NA,-73.8503746269586,40.9034277240946,"23"
"24",24,38,"242nd St","Van Cortlandt Park","Broadway","242nd St (1) Bronx","242nd St (1)","Bronx",NA,"1","1","RED",NA,NA,-73.8985062589137,40.8894240372368,"24"
"26",26,139,"3rd Ave","138th St","138th St","3rd Ave / 138th St (6) Bronx","3rd Ave / 138th St (6)","Bronx",NA,"6","6","GREEN","express",NA,-73.9271935801557,40.8109945310879,"26"
"29",29,68,"Baychester Ave",NA,"Tillotson Ave","Baychester Ave (5) Bronx","Baychester Ave (5)","Bronx",NA,"5","5","GREEN",NA,NA,-73.8385910001237,40.8786630004965,"29"
"31",31,136,"Bedford Park Blvd","Lehman College","Jerome Ave","Bedford Park Blvd / Lehman College (4) Bronx","Bedford Park Blvd / Lehman College (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.8897814325573,40.8735963202348,"31"
"33",33,140,"Brook Ave",NA,"E 138th St","Brook Ave (6) Bronx","Brook Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.9192370002541,40.8075680013297,"33"
"34",34,155,"Buhre Ave",NA,"Westchester Ave","Buhre Ave (6) Bronx","Buhre Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8322596870824,40.8470255395291,"34"
"36",36,132,"Burnside Ave",NA,"Jerome Ave","Burnside Ave (4) Bronx","Burnside Ave (4)","Bronx",NA,"4","4","GREEN",NA,NA,-73.9073721509772,40.8537979601779,"36"
"37",37,151,"Castle Hill Ave",NA,"Westchester Ave","Castle Hill Ave (6) Bronx","Castle Hill Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.8516419975505,40.8341910014017,"37"
"38",38,141,"Cypress Ave",NA,"E 138th St","Cypress Ave (6) Bronx","Cypress Ave (6)","Bronx",NA,"6","6","GREEN",NA,NA,-73.9144650434727,40.8055482212435,"38"
"39",39,69,"Dyre Ave","Eastchester","233rd St","Dyre Ave / Eastchester (5) Bronx","Dyre Ave / Eastchester (5)","Bronx",NA,"5","5","GREEN",NA,NA,-73.8305961549646,40.8890972116368,"39"
