"","OBJECTID","ID","NAME","ROUTES"
"1",344,4,"Chambers St","2"
"2",265,9,"14th St","2"
"3",295,13,"34th St","2"
"4",315,18,"72nd St","2"
"5",327,21,"96th St","2"
"6",247,39,"110th St","2"
"7",248,40,"116th St","2"
"8",252,41,"125th St","2"
"9",257,42,"135th St","2"
"10",6,45,"149th St","2"
"11",27,46,"3rd Ave","2"
"12",53,47,"Jackson Ave","2"
"13",66,48,"Prospect Ave","2"
"14",52,49,"Intervale Ave","2"
"15",67,50,"Simpson St","2"
"16",48,51,"Freeman St","2"
"17",12,52,"174th St","2"
"18",44,53,"E Tremont Ave","2"
"19",43,54,"E 180th St","2"
"20",32,55,"Bronx Park East","2"
"21",65,56,"Pelham Pky","2"
"22",28,57,"Allerton Ave","2"
"23",35,58,"Burke Ave","2"
"24",50,59,"Gun Hill Rd","2"
"25",18,60,"219th St","2"
"26",19,61,"225th St","2"
"27",21,62,"233rd St","2"
"28",62,63,"Nereid Ave","2"
"29",23,64,"241st St","2"
"30",364,70,"Park Pl","2"
"31",354,71,"Fulton St","2"
"32",374,72,"Wall St","2"
"33",140,73,"Clark St","2"
"34",127,74,"Borough Hall","2"
"35",175,75,"Hoyt St","2"
"36",203,76,"Nevins St","2"
"37",104,77,"Atlantic Ave","2"
"38",123,78,"Bergen St","2"
"39",167,79,"Grand Army Plz","2"
"40",153,80,"Eastern Pky","2"
"41",161,81,"Franklin Ave","2"
"42",217,92,"President St","2"
"43",228,93,"Sterling St","2"
"44",239,94,"Winthrop St","2"
"45",139,95,"Church Ave","2"
"46",125,96,"Beverly Rd","2"
"47",208,97,"Newkirk Ave","2"
"48",155,98,"Flatbush Ave","2"
"49",481,99,"Times Sq","2"
