,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
1,335,105,Brooklyn Bridge,1,335,6,six
2,336,106,Canal St,2,336,6,six
3,369,107,Spring St,3,369,6,six
4,329,108,Bleecker St,4,329,6,six
5,328,109,Astor Pl,5,328,6,six
6,263,110,14th St,6,263,6,six
7,283,111,23rd St,7,283,6,six
8,288,112,28th St,8,288,6,six
9,292,113,33rd St,9,292,6,six
10,355,114,Grand Central,10,355,6,six
11,303,115,51st St,11,303,6,six
12,306,116,59th St,12,306,6,six
13,313,117,68th St,13,313,6,six
14,316,118,77th St,14,316,6,six
15,320,119,86th St,15,320,6,six
16,325,120,96th St,16,325,6,six
17,242,121,103rd St,17,242,6,six
18,245,122,110th St,18,245,6,six
19,249,123,116th St,19,249,6,six
20,253,124,125th St,20,253,6,six
21,26,139,3rd Ave,21,26,6,six
22,33,140,Brook Ave,22,33,6,six
23,38,141,Cypress Ave,23,38,6,six
24,40,142,E 143rd St,24,40,6,six
25,41,143,E 149th St,25,41,6,six
26,56,144,Longwood Ave,26,56,6,six
27,51,145,Hunts Point Ave,27,51,6,six
28,71,146,Whitlock Ave,28,71,6,six
29,45,147,Elder Ave,29,45,6,six
30,59,148,Sound View Ave,30,59,6,six
31,68,149,St Lawrence Ave,31,68,6,six
32,42,150,E 177th St,32,42,6,six
33,37,151,Castle Hill Ave,33,37,6,six
34,73,152,Zerega Ave,34,73,6,six
35,70,153,Westchester Sq,35,70,6,six
36,57,154,Middletown Rd,36,57,6,six
37,34,155,Buhre Ave,37,34,6,six
38,63,156,Pelham Bay Park,38,63,6,six
