,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
13,279,205,207th St,,279,A,
12,348,204,Dyckman St,,348,A,
11,276,203,190th St,,276,A,
10,273,202,181st St,,273,A,
9,272,201,175th St,,272,A,
8,270,200,168th St,,270,A,
7,260,197,145th St,,260,A,
6,254,195,125th St,,254,A,
5,243,192,103rd St,,243,A,
4,307,187,59th St,,307,A,
3,298,185,42nd St,,298,A,
2,293,184,34th St,,293,A,
43,372,293,W 4th St,,372,A,
1,337,179,Canal St,,337,A,
14,342,217,Chambers St,,342,A,
15,334,218,Broadway-Nassau St,,334,A,
16,174,219,High St,,174,A,
17,177,220,Jay St,,177,A,
18,176,221,Hoyt St,,176,A,
19,210,225,Nostrand Ave,,210,A,
20,232,227,Utica Ave,,232,A,
21,132,230,Broadway Jct,,132,A,
22,154,234,Euclid Ave,,154,A,
23,169,235,Grant Ave,,169,A,
24,408,236,80th St,,408,A,
25,411,237,88th St,,411,A,
26,444,238,Rockaway Blvd,,444,A,
,,,,,,,
27,377,239,104th St,,377,A,lefferts
28,379,240,111th St,,379,A,lefferts
29,437,241,Lefferts Blvd,,437,A,lefferts
,,,,,,,
30,413,242,Aqueduct,,413,A,far_rock
31,432,243,Howard Beach,,432,A,far_rock
32,423,244,Broad Channel,,423,A,far_rock
,,,,,,,
33,420,245,Beach 67th St,,420,A,far_rock
34,419,246,Beach 60th St,,419,A,far_rock
35,418,247,Beach 44th St,,418,A,far_rock
36,417,248,Beach 36th St,,417,A,far_rock
37,416,249,Beach 25th St,,416,A,far_rock
38,428,250,Far Rockaway,,428,A,far_rock
,,,,,,,
39,421,251,Beach 90th St,,421,A,rock_park
40,422,252,Beach 98th St,,422,A,rock_park
41,415,253,Beach 105th St,,415,A,rock_park
42,445,254,Rockaway Park,,445,A,rock_park
