,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
1,30,215,Bedford Park Blvd,1,30,B,main_b
2,54,214,Kingsbridge Rd,2,54,B,main_b
3,46,213,Fordham Rd,3,46,B,main_b
4,15,212,182nd St,4,15,B,main_b
5,69,211,Tremont Ave,5,69,B,main_b
6,13,210,174th St,6,13,B,main_b
7,10,209,170th St,7,10,B,main_b
8,8,208,167th St,8,8,B,main_b
9,7,127,161st St,9,7,B,main_b
10,266,206,155th St,10,266,B,main_b
11,260,197,145th St,11,260,B,main_b
12,256,196,135th St,12,256,B,main_b
13,254,195,125th St,13,254,B,main_b
14,250,194,116th St,14,250,B,main_b
15,246,193,110th St,15,246,B,main_b
16,243,192,103rd St,16,243,B,main_b
17,326,191,96th St,17,326,B,main_b
18,321,190,86th St,18,321,B,main_b
19,319,189,81st St,19,319,B,main_b
20,314,188,72nd St,20,314,B,main_b
1,307,187,59th St,21,307,B,main_b
22,318,255,7th Ave,22,318,B,main_b
27,299,298,47th-50th Sts,23,299,B,main_b
26,297,297,42nd St,24,297,B,main_b
28,294,368,34th St,25,294,B,main_b
25,25,296,W 4th St,26,25,B,main_b
24,333,292,Broadway-Lafayette St,27,333,B,main_b
23,358,291,Grand St,28,358,B,main_b
29,150,382,DeKalb Ave,29,150,B,main_b
30,102,383,Atlantic Ave,30,102,B,main_b
31,93,384,7th Ave,31,93,B,main_b
32,219,385,Prospect Park,32,219,B,main_b
33,138,387,Church Ave,33,138,B,main_b
34,207,390,Newkirk Ave,34,207,B,main_b
35,180,394,Kings Hwy,35,180,B,main_b
36,225,397,Sheepshead Bay,36,225,B,main_b
37,129,398,Brighton Beach,37,129,B,main_b
