,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
20,270,200,168th St,1,270,C,main_c
19,269,199,163rd St,2,269,C,main_c
18,267,198,155th St,3,267,C,main_c
17,260,197,145th St,4,260,C,main_c
16,256,196,135th St,5,256,C,main_c
15,254,195,125th St,6,254,C,main_c
14,250,194,116th St,7,250,C,main_c
13,246,193,110th St,8,246,C,main_c
12,243,192,103rd St,9,243,C,main_c
11,326,191,96th St,10,326,C,main_c
10,321,190,86th St,11,321,C,main_c
9,319,189,81st St,12,319,C,main_c
8,314,188,72nd St,13,314,C,main_c
7,307,187,59th St,14,307,C,main_c
6,301,186,50th St,15,301,C,main_c
5,298,185,42nd St,16,298,C,main_c
4,293,184,34th St,17,293,C,main_c
3,284,183,23rd St,18,284,C,main_c
40,323,439,8th Ave,19,323,C,main_c
39,372,293,W 4th St,20,372,C,main_c
2,368,180,Spring St,21,368,C,main_c
1,337,179,Canal St,22,337,C,main_c
21,342,217,Chambers St,23,342,C,main_c
22,334,218,Broadway-Nassau St,24,334,C,main_c
23,174,219,High St,25,174,C,main_c
24,177,220,Jay St,26,177,C,main_c
25,176,221,Hoyt St,27,176,C,main_c
26,187,222,Lafayette Ave,28,187,C,main_c
27,144,223,Clinton Ave,29,144,C,main_c
28,159,224,Franklin Ave,30,159,C,main_c
29,210,225,Nostrand Ave,31,210,C,main_c
30,184,226,Kingston-Throop Aves,32,184,C,main_c
31,232,227,Utica Ave,33,232,C,main_c
32,220,228,Ralph Ave,34,220,C,main_c
33,221,229,Rockaway Ave,35,221,C,main_c
34,132,230,Broadway Jct,36,132,C,main_c
35,189,231,Liberty Ave,37,189,C,main_c
36,234,232,Van Siclen Ave,38,234,C,main_c
37,226,233,Shepherd Ave,39,226,C,main_c
38,154,234,Euclid Ave,40,154,C,main_c
