,OBJECTID,ID,NAME,ORDER,UNIQUEID,ROUTES,BRANCH
29,23,64,241st St,1,23,2,two_main
28,62,63,Nereid Ave,2,62,2,two_main
27,21,62,233rd St,3,21,2,two_main
26,19,61,225th St,4,19,2,two_main
25,18,60,219th St,5,18,2,two_main
24,50,59,Gun Hill Rd,6,50,2,two_main
23,35,58,Burke Ave,7,35,2,two_main
22,28,57,Allerton Ave,8,28,2,two_main
21,65,56,Pelham Pky,9,65,2,two_main
20,32,55,Bronx Park East,10,32,2,two_main
19,43,54,E 180th St,11,43,2,two_main
18,44,53,E Tremont Ave,12,44,2,two_main
17,12,52,174th St,13,12,2,two_main
16,48,51,Freeman St,14,48,2,two_main
15,67,50,Simpson St,15,67,2,two_main
14,52,49,Intervale Ave,16,52,2,two_main
13,66,48,Prospect Ave,17,66,2,two_main
12,53,47,Jackson Ave,18,53,2,two_main
11,27,46,3rd Ave,19,27,2,two_main
10,6,45,149th St,20,6,2,two_main
9,257,42,135th St,21,257,2,two_main
8,252,41,125th St,22,252,2,two_main
7,248,40,116th St,23,248,2,two_main
6,247,39,110th St,24,247,2,two_main
5,327,21,96th St,25,327,2,two_main
4,315,18,72nd St,26,315,2,two_main
49,481,99,Times Sq,27,481,2,two_main
3,295,13,34th St,28,295,2,two_main
2,265,9,14th St,29,265,2,two_main
1,344,4,Chambers St,30,344,2,two_main
30,364,70,Park Pl,31,364,2,two_main
31,354,71,Fulton St,32,354,2,two_main
32,374,72,Wall St,33,374,2,two_main
33,140,73,Clark St,34,140,2,two_main
34,127,74,Borough Hall,35,127,2,two_main
35,175,75,Hoyt St,36,175,2,two_main
36,203,76,Nevins St,37,203,2,two_main
37,104,77,Atlantic Ave,38,104,2,two_main
38,123,78,Bergen St,39,123,2,two_main
39,167,79,Grand Army Plz,40,167,2,two_main
40,153,80,Eastern Pky,41,153,2,two_main
41,161,81,Franklin Ave,42,161,2,two_main
42,217,92,President St,43,217,2,two_main
43,228,93,Sterling St,44,228,2,two_main
44,239,94,Winthrop St,45,239,2,two_main
45,139,95,Church Ave,46,139,2,two_main
46,125,96,Beverly Rd,47,125,2,two_main
47,208,97,Newkirk Ave,48,208,2,two_main
48,155,98,Flatbush Ave,49,155,2,two_main
